PRODUCT_ID,ds,yhat,yhat_lower,yhat_upper
P0001,2022-01-01,564.0280209618091,418.5335846452992,730.3497392863676
P0001,2022-01-02,582.515176362355,405.85595940112506,737.009823897728
P0001,2022-01-03,567.8845524278433,410.05888277149563,733.0269209714888
P0001,2022-01-04,559.2167759030402,407.3284765920698,712.9792486056853
P0001,2022-01-05,580.2172846888399,429.12603991543415,751.0655949280259
P0001,2022-01-06,569.3465811955903,399.8807207321292,730.8036843609065
P0001,2022-01-07,578.0973406473305,420.2622168556338,740.0656308176218
P0001,2022-01-08,573.5606417301191,410.99434605856703,735.5859188558314
P0001,2022-01-09,599.5149999821184,450.9322070002042,762.2270042688524
P0001,2022-01-10,591.4799297593169,429.7721170795988,751.1053884672762
P0001,2022-01-11,588.3320117537133,433.0635341009892,766.7962998919758
P0001,2022-01-12,613.6015250588682,446.73225757296035,781.6584668920681
P0001,2022-01-13,605.6076316554016,445.3970664088556,764.1958043191149
P0001,2022-01-14,615.7395063414256,451.70594817691216,772.3018603261169
P0001,2022-01-15,611.0255690279847,444.8766048111589,769.1949105996001
P0001,2022-01-16,635.2244172007613,476.1608901607979,791.0263330359745
P0001,2022-01-17,623.8791319204104,464.09809815348024,779.7332737667507
P0001,2022-01-18,615.9329134455307,459.0941281852353,769.6672908070908
P0001,2022-01-19,635.0241166998485,475.3647928253913,803.9611357627524
P0001,2022-01-20,619.6187174735685,455.66782571145177,787.7028072170357
P0001,2022-01-21,621.2876759715776,466.86301816422286,793.4846933783474
P0001,2022-01-22,607.2714567455998,443.91148246828124,761.9302173524868
P0001,2022-01-23,621.5654306002762,463.33398712021517,780.5939405948592
P0001,2022-01-24,599.9679817736779,434.2893591316083,752.2515458445807
P0001,2022-01-25,581.6894443813486,415.0143230984639,747.6695876881931
P0001,2022-01-26,590.6401196288807,438.2637362476171,761.6845545710997
P0001,2022-01-27,565.5555941068349,396.97389634109396,714.0624563501545
P0001,2022-01-28,558.2670188020081,401.34597805975966,719.8426948575245
P0001,2022-01-29,536.2587980743369,372.3747551466569,688.6120784120661
P0001,2022-01-30,543.7475974775083,377.3931057946435,693.0292460058355
P0001,2022-01-31,516.724664419049,361.45948213678486,672.7161835243828
P0001,2022-02-01,494.5597393342899,340.6672624900834,654.5682238901899
P0001,2022-02-02,501.2849413229067,346.8758140917681,669.4001347998245
P0001,2022-02-03,475.7169564296939,327.20301946887434,641.3822888885245
P0001,2022-02-04,469.72526797570663,304.605979916083,623.9567836061124
P0001,2022-02-05,450.7889288657608,303.7590148830989,611.1548692250349
P0001,2022-02-06,463.0758039880011,316.9429539381655,619.1667765382733
P0001,2022-02-07,442.4862647567691,278.14134950960835,613.1897470773106
P0001,2022-02-08,428.25957060206605,263.92070394367886,573.4192088428673
P0001,2022-02-09,444.2612489200615,277.81069772266085,590.1897719539127
P0001,2022-02-10,429.1097018092547,267.5398828726874,587.3807874631941
P0001,2022-02-11,434.4496546066102,269.2154544340755,606.0509023260394
P0001,2022-02-12,427.5148007910399,268.4517259093748,571.9844662052086
P0001,2022-02-13,452.2134091517488,286.1486882889405,616.2810822396541
P0001,2022-02-14,444.1787007774448,278.4933398973385,604.6954435187171
P0001,2022-02-15,442.3820487701752,268.9205220890142,598.2138829963842
P0001,2022-02-16,470.4271279587346,319.5447608560612,630.9304560886868
P0001,2022-02-17,466.68306145631936,302.37612801791533,634.6476815983756
P0001,2022-02-18,482.56400534425364,320.9621188147639,638.5711645449541
P0001,2022-02-19,485.0973648006461,320.730008698637,658.8214554495979
P0001,2022-02-20,518.014263106384,355.8362502890681,677.3874723244112
P0001,2022-02-21,516.8039478045993,351.3351810196162,679.2881725524005
P0001,2022-02-22,520.3300864406078,368.3803180086904,687.9089084419157
P0001,2022-02-23,552.1270068061285,404.01933164988964,724.9578870614808
P0001,2022-02-24,550.5338833644486,389.6829325415585,717.4902551493032
P0001,2022-02-25,566.9742958022697,413.03184053921643,723.5332779551253
P0001,2022-02-26,568.5233671576317,412.94422862489637,725.4819589245096
P0001,2022-02-27,598.9961460468741,442.7609841544188,761.6544067584451
P0001,2022-02-28,593.9989873140823,434.405914958508,756.1138124123269
P0001,2022-03-01,592.5419799661578,431.25500315456657,743.8535632466978
P0001,2022-03-02,618.3305944843822,477.8515393729028,773.7153377639881
P0001,2022-03-03,609.8946883214875,454.39804322788046,776.978703676991
P0001,2022-03-04,618.8624469776289,452.6807082384545,773.5668876606237
P0001,2022-03-05,612.5216300147991,452.7101395410205,771.8105750697997
P0001,2022-03-06,634.9019541804145,469.352926464026,798.8991955511997
P0001,2022-03-07,621.8205365798917,461.48869959039456,795.5772637084824
P0001,2022-03-08,612.4886115878037,451.84579810626985,775.5743957855302
P0001,2022-03-09,630.7978500178265,482.07046236690735,794.6940578558402
P0001,2022-03-10,615.4445630671325,461.96582522224315,773.6572894226157
P0001,2022-03-11,618.19949547942,460.7648408306745,786.9192787564489
P0001,2022-03-12,606.4656842684469,437.9386575800443,756.9367488894751
P0001,2022-03-13,624.3582992616476,464.38828630774896,785.486667524634
P0001,2022-03-14,607.7484474661567,437.5822155356876,770.8423927166518
P0001,2022-03-15,595.8691875713713,436.01129914007043,759.4381721734486
P0001,2022-03-16,612.6020886524144,454.8011104955565,781.5511114585149
P0001,2022-03-17,596.6025942277884,430.6445019963605,740.6419575122967
P0001,2022-03-18,599.5718486526919,445.482366377381,777.6360179884937
P0001,2022-03-19,588.8173904413461,425.5514981012032,756.3491861306838
P0001,2022-03-20,608.3365349027533,445.0913724445602,771.5816417493565
P0001,2022-03-21,593.8643151264398,427.0102693688157,766.778121031213
P0001,2022-03-22,584.4840990062961,423.8421480156655,738.76222932593
P0001,2022-03-23,603.9190759579807,433.039936531836,766.3880696773927
P0001,2022-03-24,590.6627264392115,416.4119790427964,755.9662942558006
P0001,2022-03-25,596.2557800311107,433.8404417660899,758.3090853693333
P0001,2022-03-26,587.8519165003165,416.2301524508275,745.0862372994831
P0001,2022-03-27,609.3058876118091,453.30914477854,758.9785854098392
P0001,2022-03-28,596.2257936879,438.8958394573413,749.3641334719825
P0001,2022-03-29,587.5875109847458,410.0908936967404,741.6708467417772
P0001,2022-03-30,607.0293587202583,443.92890960756023,775.0424007983337
P0001,2022-03-31,592.985033700602,423.5049958445544,756.0857206437244
P0001,2022-04-01,596.9622550574162,437.98511143389925,747.8917220113037
P0001,2022-04-02,586.1093337939733,419.07670619874494,753.9397723665387
P0001,2022-04-03,604.3033296013703,448.1233314003307,770.6237759154856
P0001,2022-04-04,587.2015382366753,416.40623074828784,737.0735632411315
P0001,2022-04-05,573.8543388814575,416.94527103598784,731.6184221223041
P0001,2022-04-06,587.997546483269,428.8877408287908,734.752398242225
P0001,2022-04-07,568.182374118227,411.03468716469666,729.426418241254
P0001,2022-04-08,566.0505434094492,395.9655718800959,735.0352596398403
P0001,2022-04-09,548.896868658023,387.0784034649232,703.9695117803976
P0001,2022-04-10,560.7531000605352,395.0693031138525,720.0694599222458
P0001,2022-04-11,537.4349005690025,380.4797357797648,699.2776063761318
P0001,2022-04-12,518.1501212260949,369.1640802113212,683.4138714985986
P0001,2022-04-13,526.7866557411361,366.98473136845746,680.7472866064215
P0001,2022-04-14,502.0381112939986,337.87651444960017,656.8342099570658
P0001,2022-04-15,495.6749579195613,334.9549777984397,662.8121040433618
